certificate_id,issue_date,expiry_date,status,revocation_date,api_endpoint,issuer,key_length,tls_version
CERT-1000,04/06/2024,24/10/2025,revoked,06/08/2025,/api/v5/service18,PrimeCA,4096,TLS1.3
CERT-1001,11/06/2024,16/05/2026,active,,/api/v1/service13,PrimeCA,2048,TLS1.2
CERT-1002,07/02/2024,10/12/2025,active,,/api/v1/service6,UniCA,4096,TLS1.3
CERT-1003,09/03/2024,17/10/2024,revoked,28/09/2024,/api/v5/service19,UniCA,3072,TLS1.3
CERT-1004,27/03/2024,11/10/2024,revoked,18/07/2024,/api/v4/service23,NetSecure CA,2048,TLS1.2
CERT-1005,10/03/2024,04/10/2024,revoked,05/08/2024,/api/v2/service32,UniCA,2048,TLS1.3
CERT-1006,07/03/2024,31/12/2024,revoked,29/12/2024,/api/v2/service31,GlobalTrust CA,3072,TLS1.2
CERT-1007,08/07/2024,08/03/2026,revoked,23/02/2026,/api/v2/service17,SecureSign CA,4096,TLS1.3
CERT-1008,01/02/2024,05/10/2024,revoked,27/08/2024,/api/v2/service15,GlobalTrust CA,4096,TLS1.3
CERT-1009,17/05/2024,04/01/2025,revoked,27/11/2024,/api/v4/service41,NetSecure CA,2048,TLS1.2
CERT-1010,29/02/2024,21/11/2025,revoked,15/09/2025,/api/v1/service8,PrimeCA,4096,TLS1.3
CERT-1011,12/03/2024,21/12/2024,active,,/api/v4/service44,UniCA,2048,TLS1.2
CERT-1012,04/06/2024,10/08/2025,revoked,30/07/2025,/api/v3/service34,UniCA,4096,TLS1.3
CERT-1013,13/02/2024,10/04/2025,revoked,27/01/2025,/api/v5/service34,GlobalTrust CA,2048,TLS1.2
CERT-1014,05/01/2024,19/06/2025,revoked,21/04/2025,/api/v5/service34,NetSecure CA,4096,TLS1.2
CERT-1015,25/04/2024,14/05/2025,revoked,12/05/2025,/api/v2/service27,PrimeCA,2048,TLS1.2
CERT-1016,20/06/2024,06/05/2025,active,,/api/v3/service28,NetSecure CA,3072,TLS1.3
CERT-1017,02/01/2024,07/07/2024,revoked,15/05/2024,/api/v3/service20,SecureSign CA,4096,TLS1.2
CERT-1018,08/02/2024,31/01/2026,active,,/api/v3/service41,UniCA,2048,TLS1.3
CERT-1019,02/04/2024,23/07/2025,revoked,03/05/2025,/api/v2/service5,UniCA,4096,TLS1.2
CERT-1020,10/04/2024,23/11/2024,active,,/api/v2/service22,NetSecure CA,4096,TLS1.3
CERT-1021,15/04/2024,22/05/2025,revoked,23/03/2025,/api/v5/service16,UniCA,3072,TLS1.2
CERT-1022,14/07/2024,22/07/2025,active,,/api/v4/service30,SecureSign CA,4096,TLS1.2
CERT-1023,29/04/2024,17/05/2025,revoked,18/02/2025,/api/v5/service20,NetSecure CA,4096,TLS1.2
CERT-1024,31/03/2024,05/07/2025,active,,/api/v4/service39,GlobalTrust CA,2048,TLS1.2
CERT-1025,12/05/2024,05/10/2025,revoked,21/08/2025,/api/v5/service38,GlobalTrust CA,3072,TLS1.3
CERT-1026,26/05/2024,23/05/2026,active,,/api/v4/service43,UniCA,4096,TLS1.2
CERT-1027,24/03/2024,07/01/2026,revoked,07/11/2025,/api/v1/service46,NetSecure CA,2048,TLS1.3
CERT-1028,17/04/2024,06/03/2026,active,,/api/v3/service29,GlobalTrust CA,4096,TLS1.3
CERT-1029,01/04/2024,17/12/2024,active,,/api/v4/service45,NetSecure CA,2048,TLS1.3
CERT-1030,26/03/2024,11/12/2024,active,,/api/v3/service2,PrimeCA,2048,TLS1.2
CERT-1031,07/04/2024,05/02/2026,revoked,16/12/2025,/api/v4/service39,PrimeCA,4096,TLS1.2
CERT-1032,05/06/2024,15/12/2025,active,,/api/v3/service49,SecureSign CA,3072,TLS1.2
CERT-1033,24/02/2024,07/12/2025,active,,/api/v3/service36,NetSecure CA,3072,TLS1.2
CERT-1034,20/01/2024,08/10/2025,revoked,14/08/2025,/api/v3/service14,GlobalTrust CA,3072,TLS1.3
CERT-1035,26/03/2024,17/04/2025,revoked,02/02/2025,/api/v3/service41,GlobalTrust CA,2048,TLS1.3
CERT-1036,04/04/2024,15/07/2025,active,,/api/v3/service4,SecureSign CA,4096,TLS1.2
CERT-1037,19/01/2024,26/10/2024,revoked,15/09/2024,/api/v5/service36,PrimeCA,2048,TLS1.3
CERT-1038,13/01/2024,01/03/2025,active,,/api/v3/service10,GlobalTrust CA,3072,TLS1.2
CERT-1039,21/05/2024,28/09/2025,revoked,16/09/2025,/api/v1/service3,PrimeCA,2048,TLS1.2
CERT-1040,17/03/2024,08/11/2025,revoked,07/11/2025,/api/v3/service34,PrimeCA,3072,TLS1.2
CERT-1041,12/05/2024,20/02/2026,revoked,25/01/2026,/api/v1/service36,PrimeCA,3072,TLS1.2
CERT-1042,26/04/2024,02/03/2025,revoked,23/12/2024,/api/v1/service37,SecureSign CA,3072,TLS1.3
CERT-1043,05/07/2024,18/04/2026,active,,/api/v5/service47,SecureSign CA,3072,TLS1.2
CERT-1044,04/01/2024,12/12/2024,active,,/api/v4/service18,PrimeCA,4096,TLS1.3
CERT-1045,09/06/2024,15/07/2025,active,,/api/v4/service35,UniCA,3072,TLS1.2
CERT-1046,05/06/2024,14/01/2025,active,,/api/v5/service14,PrimeCA,3072,TLS1.2
CERT-1047,01/04/2024,24/10/2024,revoked,22/08/2024,/api/v4/service13,GlobalTrust CA,2048,TLS1.3
CERT-1048,02/03/2024,22/11/2025,active,,/api/v3/service19,GlobalTrust CA,3072,TLS1.3
CERT-1049,23/01/2024,02/10/2024,active,,/api/v1/service12,UniCA,2048,TLS1.2
CERT-1050,24/03/2024,15/03/2026,revoked,23/12/2025,/api/v3/service13,UniCA,2048,TLS1.3
CERT-1051,20/02/2024,11/06/2025,revoked,11/05/2025,/api/v2/service46,PrimeCA,3072,TLS1.3
CERT-1052,16/05/2024,07/02/2026,active,,/api/v3/service17,GlobalTrust CA,3072,TLS1.3
CERT-1053,04/02/2024,14/09/2025,active,,/api/v4/service18,PrimeCA,2048,TLS1.2
CERT-1054,04/03/2024,02/02/2026,revoked,18/01/2026,/api/v5/service8,UniCA,2048,TLS1.3
CERT-1055,15/05/2024,26/06/2025,active,,/api/v3/service10,UniCA,2048,TLS1.2
CERT-1056,03/03/2024,23/09/2024,active,,/api/v5/service29,PrimeCA,4096,TLS1.2
CERT-1057,03/03/2024,09/02/2025,revoked,06/02/2025,/api/v2/service18,NetSecure CA,4096,TLS1.2
CERT-1058,18/03/2024,06/11/2024,active,,/api/v2/service49,NetSecure CA,2048,TLS1.3
CERT-1059,18/05/2024,21/02/2025,active,,/api/v3/service11,GlobalTrust CA,3072,TLS1.3
CERT-1060,05/05/2024,10/12/2025,revoked,06/11/2025,/api/v1/service26,NetSecure CA,3072,TLS1.2
CERT-1061,02/06/2024,09/04/2025,revoked,09/01/2025,/api/v1/service38,UniCA,3072,TLS1.2
CERT-1062,31/01/2024,17/08/2024,revoked,06/08/2024,/api/v1/service43,SecureSign CA,4096,TLS1.2
CERT-1063,13/01/2024,21/10/2025,active,,/api/v2/service20,NetSecure CA,4096,TLS1.3
CERT-1064,11/06/2024,17/06/2025,revoked,02/04/2025,/api/v3/service25,UniCA,3072,TLS1.2
CERT-1065,15/03/2024,27/10/2024,revoked,10/09/2024,/api/v1/service19,GlobalTrust CA,3072,TLS1.2
CERT-1066,23/03/2024,10/06/2025,active,,/api/v2/service42,SecureSign CA,2048,TLS1.2
CERT-1067,12/02/2024,24/01/2026,revoked,30/11/2025,/api/v5/service4,GlobalTrust CA,4096,TLS1.3
CERT-1068,09/06/2024,24/07/2025,active,,/api/v5/service7,PrimeCA,2048,TLS1.3
